"Analysis Type","NCBI BioProject ID (Strain 1)","Strain 1","GI (Strain 1)","Locus Tag (Strain 1)","NCBI RefSeq Accession (Strain 1)","Description (Strain 1)","NCBI BioProject ID (Strain 2)","Strain 2","GI (Strain 2)","Locus Tag (Strain 2)","NCBI RefSeq Accession (Strain 2)","Description (Strain 2)","Inparalogs","Strain 1 Inparalogs (Locus Tag/Name)","Strain 2 Inparalogs (Locus Tag/Name)","Ortholuge Class"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128506","b0522","NP_415055.1","N5-carboxyaminoimidazole ribonucleotide synthase","57945","Pseudomonas aeruginosa PAO1","15600618","PA5425","NP_254112.1","phosphoribosylaminoimidazole carboxylase ATPase subunit","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","145698337","b3959","NP_418394.3","acetylglutamate kinase","57945","Pseudomonas aeruginosa PAO1","15600516","PA5323","NP_254010.1","acetylglutamate kinase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","308209621","b3212","NP_417679.2","glutamate synthase, large subunit","57945","Pseudomonas aeruginosa PAO1","15600229","PA5036","NP_253723.1","glutamate synthase subunit alpha","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111252","b1338","NP_415854.4","p-aminobenzoyl-glutamate hydrolase, A subunit","57945","Pseudomonas aeruginosa PAO1","15598118","PA2922","NP_251612.1","hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111252","b1338","NP_415854.4","p-aminobenzoyl-glutamate hydrolase, A subunit","57945","Pseudomonas aeruginosa PAO1","15599540","PA4344","NP_253034.1","hydrolase","1","","PA2922[hydrolase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131380","b3508","NP_417965.1","predicted Mg(2+) transport ATPase, inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15597754","PA2558","NP_251248.1","transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131380","b3508","NP_417965.1","predicted Mg(2+) transport ATPase, inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15599831","PA4635","NP_253325.1","hypothetical protein","1","","PA2558[transporter]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128758","b0790","NP_415311.1","conserved protein, endo/exonuclease/phosphatase family PFAM PF03372","57945","Pseudomonas aeruginosa PAO1","15597352","PA2156","NP_250846.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128102","b0109","NP_414651.1","quinolinate phosphoribosyltransferase","57945","Pseudomonas aeruginosa PAO1","15599720","PA4524","NP_253214.1","nicotinate-nucleotide pyrophosphorylase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130534","b2615","NP_417105.1","NAD kinase","57945","Pseudomonas aeruginosa PAO1","15598284","PA3088","NP_251778.1","inorganic polyphosphate/ATP-NAD kinase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130175","b2240","NP_416743.1","sn-glycerol-3-phosphate transporter","57945","Pseudomonas aeruginosa PAO1","15600428","PA5235","NP_253922.1","sn-glycerol-3-phosphate transporter","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128443","b0459","NP_414992.1","maltose O-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15595903","PA0706","NP_249397.1","chloramphenicol acetyltransferase","1","","PA3853[transferase]","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128443","b0459","NP_414992.1","maltose O-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15599048","PA3853","NP_252542.1","transferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176239","b2557","YP_026170.1","phosphoribosylformyl-glycineamide synthetase","57945","Pseudomonas aeruginosa PAO1","15598958","PA3763","NP_252452.1","phosphoribosylformylglycinamidine synthase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130739","b2835","NP_417312.1","lysophospholipid transporter","57945","Pseudomonas aeruginosa PAO1","15598463","PA3267","NP_251957.1","hypothetical protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131169","b3290","NP_417748.1","NAD-binding component of TrK potassium transporter","57945","Pseudomonas aeruginosa PAO1","15595214","PA0016","NP_248706.1","potassium transporter peripheral membrane component","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111642","b3698","NP_418153.4","conserved protein, DUF937 family","57945","Pseudomonas aeruginosa PAO1","15598991","PA3796","NP_252485.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130405","b2480","NP_416975.1","thiol peroxidase, thioredoxin-dependent","57945","Pseudomonas aeruginosa PAO1","15596205","PA1008","NP_249699.1","bacterioferritin comigratory protein","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111679","b4046","NP_418470.4","DNA-binding transcriptional repressor, Zn(II)-binding","57945","Pseudomonas aeruginosa PAO1","15600692","PA5499","NP_254186.1","transcriptional regulator np20","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128904","b0937","NP_415457.1","NAD(P)H-dependent FMN reductase","57945","Pseudomonas aeruginosa PAO1","15598642","PA3446","NP_252136.1","NAD(P)H-dependent FMN reductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132170","b4349","NP_418769.1","DNA methyltransferase M","57945","Pseudomonas aeruginosa PAO1","15597931","PA2735","NP_251425.1","restriction-modification system protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128201","b0214","NP_414750.1","ribonuclease HI, degrades RNA of DNA-RNA hybrids","57945","Pseudomonas aeruginosa PAO1","15597012","PA1815","NP_250506.1","ribonuclease H","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111312","b1648","NP_416165.2","conserved protein","57945","Pseudomonas aeruginosa PAO1","15598947","PA3752","NP_252441.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128986","b1022","NP_415541.1","predicted glycosyl transferase","57945","Pseudomonas aeruginosa PAO1","15595902","PA0705","NP_249396.1","alpha-1,6-rhamnosyltransferase MigA","2","","PA5000[alpha-1,3-rhamnosyltransferase WapR];PA1014[glycosyl transferase]",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128986","b1022","NP_415541.1","predicted glycosyl transferase","57945","Pseudomonas aeruginosa PAO1","15600193","PA5000","NP_253687.1","alpha-1,3-rhamnosyltransferase WapR","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128986","b1022","NP_415541.1","predicted glycosyl transferase","57945","Pseudomonas aeruginosa PAO1","15596211","PA1014","NP_249705.1","glycosyl transferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129235","b1274","NP_415790.1","DNA topoisomerase I, omega subunit","57945","Pseudomonas aeruginosa PAO1","15598207","PA3011","NP_251701.1","DNA topoisomerase I","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129553","b1595","NP_416112.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15600222","PA5029","NP_253716.1","transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128396","b0411","NP_414945.1","nucleoside channel, receptor of phage T6 and colicin K","57945","Pseudomonas aeruginosa PAO1","15595363","PA0165","NP_248855.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130280","b2347","NP_416849.1","predicted inner membrane protein","57945","Pseudomonas aeruginosa PAO1","15597973","PA2777","NP_251467.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130496","b2571","NP_417066.1","anti-sigma E factor, binds RseA","57945","Pseudomonas aeruginosa PAO1","15595961","PA0764","NP_249455.1","negative regulator for alginate biosynthesis MucB","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129806","b1853","NP_416367.1","predicted DNA-binding transcriptional regulator","57945","Pseudomonas aeruginosa PAO1","15598380","PA3184","NP_251874.1","HexR family transcriptional regulator","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129139","b1176","NP_415694.1","cell division inhibitor","57945","Pseudomonas aeruginosa PAO1","15598439","PA3243","NP_251933.1","septum formation inhibitor","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129037","b1074","NP_415592.1","flagellar component of cell-proximal portion of basal-body rod","57945","Pseudomonas aeruginosa PAO1","15596275","PA1078","NP_249769.1","flagellar basal body rod protein FlgC","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129194","b1233","NP_415749.1","conserved protein, UPF0225 family","57945","Pseudomonas aeruginosa PAO1","15596236","PA1039","NP_249730.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111218","b1133","NP_415651.4","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase","57945","Pseudomonas aeruginosa PAO1","15597822","PA2626","NP_251316.1","tRNA-specific 2-thiouridylase MnmA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131191","b3312","NP_417771.1","50S ribosomal subunit protein L29","57945","Pseudomonas aeruginosa PAO1","15599451","PA4255","NP_252945.1","50S ribosomal protein L29","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","49176076","b1080","NP_415598.3","predicted flagellar basal body protein","57945","Pseudomonas aeruginosa PAO1","15596281","PA1084","NP_249775.1","flagellar basal body P-ring protein","","","","Borderline-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128042","b0048","NP_414590.1","dihydrofolate reductase","57945","Pseudomonas aeruginosa PAO1","15595547","PA0350","NP_249041.1","dihydrofolate reductase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128142","b0149","NP_414691.1","fused glycosyl transferase and transpeptidase","57945","Pseudomonas aeruginosa PAO1","15599894","PA4700","NP_253388.1","penicillin-binding protein 1B","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","90111621","b3614","NP_418071.4","predicted polysaccharide deacetylase","57945","Pseudomonas aeruginosa PAO1","15600328","PA5135","NP_253822.1","hypothetical protein","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129612","b1654","NP_416171.1","glutaredoxin-4","57945","Pseudomonas aeruginosa PAO1","15598729","PA3533","NP_252223.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128489","b0505","NP_415038.1","ureidoglycolate hydrolase","57945","Pseudomonas aeruginosa PAO1","15596711","PA1514","NP_250205.1","ureidoglycolate hydrolase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132043","b4221","NP_418642.1","large conserved protein, DUF490 family","57945","Pseudomonas aeruginosa PAO1","15597738","PA2542","NP_251232.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128082","b0089","NP_414631.1","integral membrane protein involved in stabilizing FstZ ring during cell division","57945","Pseudomonas aeruginosa PAO1","15599609","PA4413","NP_253103.1","cell division protein FtsW","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131513","b3642","NP_418099.1","orotate phosphoribosyltransferase","57945","Pseudomonas aeruginosa PAO1","15600524","PA5331","NP_254018.1","orotate phosphoribosyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128085","b0092","NP_414634.1","D-alanine:D-alanine ligase","57945","Pseudomonas aeruginosa PAO1","15599606","PA4410","NP_253100.1","D-alanine--D-alanine ligase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131687","b3839","NP_418282.1","TatABCE protein translocation system subunit","57945","Pseudomonas aeruginosa PAO1","15600263","PA5070","NP_253757.1","transporter TatC","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130722","b2818","NP_417295.1","fused acetylglutamate kinase homolog (inactive)/amino acid N-acetyltransferase","57945","Pseudomonas aeruginosa PAO1","15600397","PA5204","NP_253891.1","N-acetylglutamate synthase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128258","b0273","NP_414807.1","ornithine carbamoyltransferase 2, chain F; CP4-6 prophage","57945","Pseudomonas aeruginosa PAO1","15600365","PA5172","NP_253859.1","ornithine carbamoyltransferase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16132076","b4254","NP_418675.1","ornithine carbamoyltransferase 1","57945","Pseudomonas aeruginosa PAO1","15600365","PA5172","NP_253859.1","ornithine carbamoyltransferase","1","b0273[ornithine carbamoyltransferase 2, chain F; CP4-6 prophage]","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130880","b2980","NP_417454.1","DNA-binding transcriptional dual regulator, glycolate-binding","57945","Pseudomonas aeruginosa PAO1","15600549","PA5356","NP_254043.1","DNA-binding transcriptional regulator GlcC","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130166","b2231","NP_416734.1","DNA gyrase (type II topoisomerase), subunit A","57945","Pseudomonas aeruginosa PAO1","15598364","PA3168","NP_251858.1","DNA gyrase subunit A","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128614","b0631","NP_415164.1","conserved protein, UPF0250 family","57945","Pseudomonas aeruginosa PAO1","15599193","PA3998","NP_252687.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129092","b1129","NP_415647.1","sensory histidine kinase in two-component regulatory system with PhoP","57945","Pseudomonas aeruginosa PAO1","15596377","PA1180","NP_249871.1","two-component sensor PhoQ","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130669","b2762","NP_417242.1","3'-phosphoadenosine 5'-phosphosulfate reductase","57945","Pseudomonas aeruginosa PAO1","15596953","PA1756","NP_250447.1","phosphoadenosine phosphosulfate reductase","","","",""
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16131609","b3741","NP_418197.1","5-methylaminomethyl-2-thiouridine modification at tRNA U34","57945","Pseudomonas aeruginosa PAO1","15600758","PA5565","NP_254252.1","tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130275","b2342","NP_416844.1","beta-ketoacyl-CoA thiolase, anaerobic, subunit","57945","Pseudomonas aeruginosa PAO1","15599979","PA4785","NP_253473.1","acetyl-CoA acetyltransferase","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16129871","b1924","NP_416434.1","flagellar filament capping protein","57945","Pseudomonas aeruginosa PAO1","15596291","PA1094","NP_249785.1","flagellar capping protein FliD","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130170","b2235","NP_416738.1","ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein","57945","Pseudomonas aeruginosa PAO1","15596352","PA1155","NP_249846.1","ribonucleotide-diphosphate reductase subunit beta","","","","Non-SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16128717","b0742","NP_415270.1","periplasmic TolA-binding protein","57945","Pseudomonas aeruginosa PAO1","15596171","PA0974","NP_249665.1","hypothetical protein","","","","SSD"
"ortholuge","57779","Escherichia coli str. K-12 substr. MG1655","16130283","b2351","NP_416852.1","CPS-53 (KpLE1) prophage; bactoprenol glucosyl transferase","57945","Pseudomonas aeruginosa PAO1","15600012","PA4819","NP_253506.1","glycosyl transferase","","","","SSD"
